sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,0,1013,0,0,0,150,0,0,0,0,0
2,0,1013,0,0,0,150,0,0,0,0,0
3,0,1013,0,0,0,150,0,0,0,0,0
4,0,1013,0,0,0,150,0,0,0,0,0
5,0,1013,0,0,0,150,0,0,0,0,0
6,0,1013,0,0,0,150,0,0,0,0,0
7,0,1013,0,0,0,150,0,0,0,0,0
8,0,1013,0,0,0,150,0,0,0,0,0
9,0,1013,0,0,0,150,0,0,0,0,0
10,0,1013,0,0,0,150,0,0,0,0,0
11,0,1013,0,0,0,150,0,0,0,0,0
12,0,1013,0,0,0,0,0,0,0,0,0
13,228,1018,0,0,0,0,0,0,0,0,0
14,657,1019,0,0,0,0,0,0,0,0,0
15,1079,1019,0,0,0,0,2,0,0,0,0
16,1141,1013,0,0,2,0,2,0,0,0,0
17,1141,1013,0,0,4,0,2,0,0,0,0
18,1141,1013,0,0,6,0,2,0,0,0,0
19,1141,1015,0,0,8,0,2,0,0,0,0
20,1141,1013,0,0,13,0,4,0,0,0,0
21,1141,1013,0,0,15,0,4,0,0,0,0
22,1141,1013,0,0,17,0,4,0,0,0,0
23,1141,1013,0,0,19,0,4,0,0,0,0
24,1141,0,0,0,21,0,4,0,0,0,0
25,1141,0,0,0,26,0,6,0,0,0,0
26,1141,0,0,0,28,0,6,0,0,0,0
27,1141,0,0,0,30,0,6,0,0,0,0
28,1141,0,0,0,32,0,6,0,0,0,0
29,1141,0,0,0,32,0,6,0,0,0,0
30,1141,0,0,0,32,0,8,0,0,0,0
31,1141,0,0,0,34,0,8,0,0,0,0
32,1141,0,0,0,36,0,8,0,0,0,0
33,1141,0,0,0,38,0,8,0,0,0,0
34,1141,0,0,0,40,0,8,0,0,0,0
35,1141,0,0,0,46,0,10,0,0,0,0
36,1141,0,0,0,48,0,10,0,0,0,0
37,1141,0,0,0,48,0,10,0,0,0,0
38,1141,0,0,0,48,0,10,0,0,0,0
39,1141,0,0,0,48,0,10,0,0,0,0
40,1141,0,0,0,47,0,12,0,0,0,0
41,1141,0,0,0,47,0,12,0,0,0,0
42,1141,0,0,0,47,0,12,0,0,0,0
43,1140,0,0,0,47,0,12,1,0,0,0
44,1140,0,0,0,47,0,12,1,0,0,0
45,1140,0,0,0,45,0,14,1,0,0,0
46,1140,0,0,0,47,0,14,1,0,0,0
47,1140,0,0,0,49,0,14,1,0,0,0
48,1140,0,0,0,51,0,14,1,0,0,0
49,1140,0,0,0,53,0,14,1,0,0,0
50,1140,0,0,0,67,0,16,1,0,0,0
51,1140,0,0,0,67,0,16,1,0,0,0
52,1140,0,0,0,66,0,16,1,0,0,0
53,1140,0,0,0,65,0,16,1,0,0,0
54,1138,0,0,0,64,2,16,1,0,0,0
55,1140,0,0,0,62,0,18,1,0,0,0
56,1140,0,0,0,62,0,18,1,0,0,0
57,1140,0,0,0,63,0,18,1,0,0,0
58,1140,0,0,0,63,0,18,1,0,0,0
59,1139,0,0,0,62,0,20,1,0,0,0
60,1139,0,0,0,62,0,20,2,0,0,0
61,1139,0,0,0,62,0,20,2,0,0,0
62,1139,0,0,0,62,0,20,2,0,0,0
63,1139,0,0,0,63,0,20,2,0,0,0
64,1139,0,0,0,61,0,22,2,0,0,0
65,1139,0,0,0,61,0,22,2,0,0,0
66,1138,0,0,0,62,0,22,3,0,0,0
67,1138,0,0,0,62,0,22,3,0,0,0
68,1138,0,0,0,62,0,22,3,0,0,0
69,1137,0,0,0,62,0,24,3,0,0,0
70,1138,0,0,0,61,0,24,3,0,0,0
71,1137,0,0,0,61,0,24,4,0,0,0
72,1137,0,0,0,62,0,24,4,0,0,0
73,1137,0,0,0,62,0,24,4,0,0,0
74,1137,2,0,0,61,0,24,4,0,0,0
75,1136,2,0,0,61,0,24,5,0,0,0
76,1136,2,0,0,61,0,24,5,0,0,0
77,1136,2,0,0,63,0,24,5,0,0,0
78,1136,2,0,0,64,0,24,5,0,0,0
79,1136,4,0,0,64,0,24,5,0,0,0
80,1136,4,0,0,64,0,24,5,0,0,0
81,1136,4,0,0,65,0,24,5,0,0,0
82,1136,4,0,0,66,0,24,5,0,0,0
83,1136,4,0,0,68,0,24,5,0,0,0
84,1136,6,0,0,65,0,24,5,0,0,0
85,1136,6,0,0,64,0,24,5,0,0,0
86,1000,6,0,0,62,138,24,0,0,0,0
87,582,6,0,0,51,559,24,0,0,0,0
88,170,6,0,0,43,975,24,0,0,0,0
89,137,8,0,0,37,1012,22,0,0,0,0
90,137,8,0,0,36,1012,22,0,0,0,0
91,137,8,0,0,36,1012,22,0,0,0,0
92,138,8,0,0,35,1012,22,0,0,0,0
93,140,8,0,0,31,1012,22,0,0,0,0
94,140,10,0,0,28,1012,20,0,0,0,0
95,140,10,0,0,28,1012,20,0,0,0,0
96,140,10,0,0,28,1012,20,0,0,0,0
97,140,10,0,0,28,1012,20,0,0,0,0
98,140,10,0,0,28,1012,20,0,0,0,0
99,140,12,0,0,28,1012,18,0,0,0,0
100,140,12,0,0,28,1012,18,0,0,0,0
101,140,12,0,0,28,1012,18,0,0,0,0
102,140,12,0,0,28,1012,18,0,0,0,0
103,140,12,0,0,28,1012,18,0,0,0,0
104,140,14,0,0,28,1012,16,0,0,0,0
105,142,14,0,0,26,1012,16,0,0,0,0
106,144,14,0,0,24,1012,16,0,0,0,0
107,164,14,0,0,3,1012,16,0,0,0,0
108,166,16,0,0,1,1012,14,0,0,0,0
109,166,16,0,0,1,1012,14,0,0,0,0
110,166,16,0,0,1,1012,14,0,0,0,0
111,166,16,0,0,0,1012,14,0,0,0,0
112,166,16,0,0,0,1012,14,0,0,0,0
113,166,18,0,0,0,1012,12,0,0,0,0
114,165,18,0,0,0,1012,12,0,0,0,0
115,165,18,0,0,0,1012,12,0,0,0,0
116,165,18,0,0,0,1012,12,0,0,0,0
117,165,18,0,0,0,1012,12,0,0,0,0
118,165,20,0,0,0,1012,10,0,0,0,0
119,165,20,0,0,0,1012,10,0,0,0,0
120,165,20,0,0,0,1012,10,0,0,0,0
121,165,20,0,0,0,1012,10,0,0,0,0
122,165,20,0,0,0,1012,10,0,0,0,0
123,165,22,0,0,0,1012,8,0,0,0,0
124,165,22,0,0,0,1012,8,1,0,0,0
125,165,22,0,0,0,1012,8,0,0,0,0
126,165,22,0,0,0,1012,8,0,0,0,0
127,165,22,0,0,0,1012,8,0,0,0,0
128,165,24,0,0,0,1012,6,0,0,0,0
129,165,24,0,0,0,1012,6,0,0,0,0
130,165,24,0,0,0,1012,6,0,0,0,0
131,165,24,0,0,0,1012,6,0,0,0,0
132,165,24,0,0,0,1012,6,0,0,0,0
133,165,24,0,0,0,1012,4,0,0,0,0
134,165,24,0,0,0,1012,4,0,0,0,0
135,165,24,0,0,0,1012,4,0,0,0,0
136,165,24,0,0,0,1012,4,0,0,0,0
137,165,24,0,0,0,1012,4,0,0,0,0
138,165,24,0,0,0,1012,2,0,0,0,0
139,165,24,0,0,0,1012,2,0,0,0,0
140,165,24,0,0,0,1012,2,0,0,0,0
141,165,24,0,0,0,1012,2,0,0,0,0
142,165,24,0,0,0,1012,2,0,0,0,0
143,165,24,0,0,0,1012,0,0,0,0,0
144,165,24,0,0,0,1012,0,0,0,0,0
145,165,24,0,0,0,1012,0,0,0,0,0
146,165,24,0,0,0,1012,0,0,0,0,0
147,165,24,0,0,0,1012,0,0,0,0,0
148,165,22,0,0,0,1012,0,0,0,0,0
149,165,22,0,0,0,1012,0,0,0,0,0
150,165,22,0,0,0,1012,0,0,0,0,0
151,165,22,0,0,0,1012,0,0,0,0,0
152,165,22,0,0,0,1012,0,0,0,0,0
153,165,20,0,0,0,1012,0,0,0,0,0
154,165,20,0,0,0,1012,0,0,0,0,0
155,165,20,0,0,0,1012,0,0,0,0,0
156,165,20,0,0,0,1012,0,0,0,0,0
157,165,20,0,0,0,1012,0,0,0,0,0
158,165,18,0,0,0,1012,0,0,0,0,0
159,165,18,0,0,0,1012,0,0,0,0,0
160,39,18,0,0,0,1138,0,0,0,0,0
161,39,18,0,0,0,1138,0,0,0,0,0
162,31,16,0,0,0,1146,0,0,0,0,0
163,29,16,0,0,0,1148,0,0,0,0,0
164,29,16,0,0,0,1148,0,0,0,0,0
165,29,16,0,0,0,1148,0,0,0,0,0
166,26,16,0,0,0,1151,0,0,0,0,0
167,26,14,0,0,0,1151,0,0,0,0,0
168,26,14,0,0,0,1151,0,0,0,0,0
169,26,14,0,0,0,1151,0,0,0,0,0
170,26,14,0,0,0,1151,0,0,0,0,0
171,26,14,0,0,0,1151,0,0,0,0,0
172,26,12,0,0,0,1151,0,0,0,0,0
173,26,12,0,0,0,1151,0,0,0,0,0
174,26,12,0,0,0,1151,0,0,0,0,0
175,26,12,0,0,0,1151,0,0,0,0,0
176,26,12,0,0,0,1151,0,0,0,0,0
177,26,10,0,0,0,1151,0,0,0,0,0
178,26,10,0,0,0,1151,0,0,0,0,0
179,24,10,0,0,0,1153,0,0,0,0,0
180,22,10,0,0,0,1155,0,0,0,0,0
181,2,10,0,0,0,1175,0,0,0,0,0
182,0,8,0,0,0,1177,0,0,0,0,0
183,0,8,0,0,0,1177,0,0,0,0,0
184,0,8,0,0,0,1177,0,0,0,0,0
185,0,8,0,0,0,1177,0,0,0,0,0
186,0,8,0,0,0,972,205,0,0,0,0
187,0,6,0,0,0,165,1012,0,0,0,0
188,0,6,0,0,0,165,1012,0,0,0,0
189,0,6,0,0,0,165,1012,0,0,0,0
190,0,6,0,0,0,165,1012,0,0,0,0
191,0,6,0,0,0,165,1012,0,0,0,0
192,0,4,0,0,0,165,1012,0,0,0,0
193,0,4,0,0,0,165,1012,0,0,0,0
194,0,4,0,0,0,165,1012,0,0,0,0
195,0,4,0,0,0,165,1012,0,0,0,0
196,0,4,0,0,0,165,1012,0,0,0,0
197,0,2,0,0,0,165,1012,0,0,0,0
198,0,2,0,0,0,165,1012,0,0,0,0
199,0,2,0,0,0,165,1012,0,0,0,0
200,0,2,0,0,0,165,1012,0,0,0,0
201,0,207,0,0,0,165,807,0,0,0,0
202,0,1012,0,0,0,165,0,0,0,0,0
203,0,1012,0,0,0,165,0,0,0,0,0
204,0,1012,0,0,0,164,0,0,0,0,0
205,0,1012,0,0,0,164,0,0,0,0,0
206,0,1012,0,0,0,158,0,0,0,0,0
207,0,1012,0,0,0,156,0,0,0,0,0
208,0,1012,0,0,0,156,0,0,0,0,0
209,0,1012,0,0,0,156,0,0,0,0,0
210,0,1012,0,0,0,156,0,0,0,0,0
211,0,1012,0,0,0,156,0,0,0,0,0
212,0,1012,0,0,0,156,0,0,0,0,0
213,0,1012,0,0,0,156,0,0,0,0,0
214,0,1012,0,0,0,156,0,0,0,0,0
215,0,1012,0,0,0,156,0,0,0,0,0
216,0,1012,0,0,0,156,0,0,0,0,0
217,0,1012,0,0,0,156,0,0,0,0,0
218,0,1012,0,0,0,156,0,0,0,0,0
219,0,1012,0,0,0,156,0,0,0,0,0
220,0,1012,0,0,0,156,0,0,0,0,0
221,0,1012,0,0,0,156,0,0,0,0,0
222,0,1012,0,0,0,156,0,0,0,0,0
223,0,1012,0,0,0,154,0,0,0,0,0
224,0,1012,0,0,0,152,0,0,0,0,0
225,0,1012,0,0,0,132,0,0,0,0,0
226,0,1012,0,0,0,130,0,0,0,0,0
227,0,1012,0,0,0,130,0,0,0,0,0
228,0,1012,0,0,0,130,0,0,0,0,0
229,0,1012,0,0,0,130,0,0,0,0,0
230,0,1012,0,0,0,130,0,0,0,0,0
231,0,1012,0,0,0,130,0,0,0,0,0
232,0,1012,0,0,0,130,0,0,0,0,0
233,0,1012,0,0,0,130,0,0,0,0,0
234,0,1012,0,0,0,130,0,0,0,0,0
235,0,1012,0,0,0,130,0,0,0,0,0
236,1,1012,0,0,0,130,0,0,0,0,0
237,0,1012,0,0,0,130,0,0,0,0,0
238,0,1012,0,0,0,130,0,0,0,0,0
239,0,1012,0,0,0,130,0,0,0,0,0
240,0,1012,0,0,0,130,0,0,0,0,0
